name;productUrl;imageUrls/0;imageUrls/1;price;main cat;sub cat;color prop;size;gender;Brand;Store
Haarspange;http://www.hm.com/de/product/02901?article=02901-B;lp.hm.com/hmprod?set=key[source],value[/model/2012/J01 02901 03102 08 1876.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;3,99;Accessories;Haaraccessoires;silber;;women;H&M;H&M
Haarspange;http://www.hm.com/de/product/02901?article=02901-A;lp.hm.com/hmprod?set=key[source],value[/model/2012/J01 02901 05102 06 1876.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;3,99;Accessories;Haaraccessoires;gold;;women;H&M;H&M
Strumpfhose 200 den;http://www.hm.com/de/product/93990?article=93990-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/1CV 0111609 001 91 3194.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=5&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/6AV_0339_001R.jpg]&set=key[rotate],value[-0.05]&set=key[width],value[3551]&set=key[height],value[4152]&set=key[x],value[813]&set=key[y],value[990]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];7,99;fashion;Unterwäsche;schwarz;l;women;H&M;H&M
5er-Pack Strümpfe;http://www.hm.com/de/product/16513?article=16513-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/1GV 0181448 022 00 0000.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;6,99;fashion;Unterwäsche;schwarz;36;women;H&M;H&M
Haardonut Maxi;http://www.hm.com/de/product/21557?article=21557-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/1NV 0203023 001 10 0143.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;3,99;Accessories;Haaraccessoires;beige;;women;H&M;H&M
Feinstrick-Cardigan;http://www.hm.com/de/product/19460?article=19460-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/1RH 0192081 001 94 8754.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/6AV_0246_012R.jpg]&set=key[rotate],value[-0.65]&set=key[width],value[3719]&set=key[height],value[4348]&set=key[x],value[849]&set=key[y],value[161]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];19,99;fashion;Pullover;schwarz;l;women;H&M;H&M
2er-Pack Strumpfhosen 40 den;http://www.hm.com/de/product/16928?article=16928-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/2AE 0200182 001 91 3188.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/6AV_0328_005R.jpg]&set=key[rotate],value[-1.3]&set=key[width],value[3509]&set=key[height],value[4102]&set=key[x],value[824]&set=key[y],value[958]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];7,99;fashion;Unterwäsche;schwarz;l;women;H&M;H&M
Sonnenbrille;http://www.hm.com/de/product/19030?article=19030-C;lp.hm.com/hmprod?set=key[source],value[/model/2013/2AE 0207236 001 90 9320.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;6,99;Accessories;Sonnenbrillen;silber;;women;H&M;H&M
Sonnenbrille;http://www.hm.com/de/product/19030?article=19030-B;lp.hm.com/hmprod?set=key[source],value[/model/2013/2AE 0207236 002 90 9319.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;6,99;Accessories;Sonnenbrillen;gold;;women;H&M;H&M
10er-Pack Haargummis;http://www.hm.com/de/product/22062?article=22062-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/2AQ 0213691 001 15 3682.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;1,99;Accessories;Haaraccessoires;schwarz;;women;H&M;H&M
2er-Pack Haarklemmen;http://www.hm.com/de/product/24857?article=24857-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/2BV 0126589 001 10 0212.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;2,49;Accessories;Haaraccessoires;schwarz;;women;H&M;H&M
Flechtgürtel;http://www.hm.com/de/product/10714?article=10714-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/2BV 0179985 001 90 8728.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;4,99;Accessories;Gürtel;schwarz;;women;H&M;H&M
Sweat-Cardigan;http://www.hm.com/de/product/23041?article=23041-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/2BV 0198307 001 21 7652.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=3&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/6AX_0159_014R.jpg]&set=key[rotate],value[0.1]&set=key[width],value[3812]&set=key[height],value[4457]&set=key[x],value[753]&set=key[y],value[323]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];34,99;fashion;Sweatshirts;schwarz;l;men;H&M;H&M
Bikinihose;http://www.hm.com/de/product/21262?article=21262-C;lp.hm.com/hmprod?set=key[source],value[/model/2013/2CA 0184123 004 11 3992.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=4&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6IT_0090_012R.jpg]&set=key[rotate],value[0.15]&set=key[width],value[3522]&set=key[height],value[4118]&set=key[x],value[832]&set=key[y],value[471]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];9,99;fashion;Bademode;schwarz;l;women;H&M;H&M
Jerseyshirt;http://www.hm.com/de/product/22590?article=22590-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/2CV 0215337 001 46 7914.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6JT_0127_022R.jpg]&set=key[rotate],value[0.3]&set=key[width],value[3411]&set=key[height],value[3988]&set=key[x],value[933]&set=key[y],value[696]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];7,99;fashion;Tops;weiss;l;women;H&M;H&M
2er-Pack trägerlose BHs;http://www.hm.com/de/product/13195?article=13195-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/V25 0147161 001 00 0000.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6LT_0392_009R.jpg]&set=key[rotate],value[-0.15]&set=key[width],value[2157]&set=key[height],value[2522]&set=key[x],value[1567]&set=key[y],value[501]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];14,99;fashion;Unterwäsche;weiss;70a;women;H&M;H&M
3er-Pack Boxershorts;http://www.hm.com/de/product/13902?article=13902-B;lp.hm.com/hmprod?set=key[source],value[/model/2013/V25 0184583 002 00 2689.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6TT_0108_006R.jpg]&set=key[rotate],value[0.3]&set=key[width],value[3575]&set=key[height],value[4180]&set=key[x],value[838]&set=key[y],value[456]&set=key[type],value[FASHION_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];14,99;fashion;Unterwäsche;schwarz;l;men;H&M;H&M
10er-Pack Haargummis;http://www.hm.com/de/product/13068?article=13068-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/V25 0186266 001 00 0296.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;1,99;Accessories;Haaraccessoires;schwarz;;women;H&M;H&M
3er-Pack Boxershorts;http://www.hm.com/de/product/13904?article=13904-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/V25 0190252 001 00 0000.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6TT_0112_028R.jpg]&set=key[rotate],value[0.15]&set=key[width],value[3433]&set=key[height],value[4014]&set=key[x],value[951]&set=key[y],value[518]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];14,99;fashion;Unterwäsche;weiss;l;men;H&M;H&M
3er-Pack Boxershorts;http://www.hm.com/de/product/13904?article=13904-B;lp.hm.com/hmprod?set=key[source],value[/model/2013/V25 0190252 002 00 2690.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6VS_0289_001R.jpg]&set=key[rotate],value[0.65]&set=key[width],value[3926]&set=key[height],value[4590]&set=key[x],value[663]&set=key[y],value[241]&set=key[type],value[FASHION_FRONT]&set=key[hmver],value[0]&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];14,99;fashion;Unterwäsche;schwarz;l;men;H&M;H&M
12er-Pack Haarklemmen;http://www.hm.com/de/product/13069?article=13069-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/V26 0186267 001 14 1879.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=3&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;2,49;Accessories;Haaraccessoires;schwarz;;women;H&M;H&M
Haardonut Medium;http://www.hm.com/de/product/13073?article=13073-A;lp.hm.com/hmprod?set=key[source],value[/model/2013/V26 0186270 001 00 2761.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;2,99;Accessories;Haaraccessoires;beige;;women;H&M;H&M
Haardonut Medium;http://www.hm.com/de/product/13073?article=13073-C;lp.hm.com/hmprod?set=key[source],value[/model/2013/V26 0186270 003 00 2759.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;2,99;Accessories;Haaraccessoires;braun;;women;H&M;H&M
Jerseyleggings;http://www.hm.com/de/product/10453?article=10453-D;lp.hm.com/hmprod?set=key[source],value[/model/2013/V27 0179123 001 13 2889.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/6BT_0005_017R.jpg]&set=key[rotate],value[-0.05]&set=key[width],value[4050]&set=key[height],value[4736]&set=key[x],value[697]&set=key[y],value[142]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];9,99;fashion;Hosen;schwarz;l;women;H&M;H&M
3er-Pack Baumwoll-Hotpants;http://www.hm.com/de/product/07559?article=07559-D;lp.hm.com/hmprod?set=key[source],value[/model/2013/V28 0160476 004 00 1526.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&set=key[hmver],value[0]&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6AU_0180_018R.jpg]&set=key[rotate],value[-0.05]&set=key[width],value[3146]&set=key[height],value[3678]&set=key[x],value[1115]&set=key[y],value[162]&set=key[type],value[FASHION_FRONT]&set=key[hmver],value[0]&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];9,99;fashion;Unterwäsche;schwarz;s;women;H&M;H&M
Twillhose Slim Fit;http://www.hm.com/de/product/24365?article=24365-B;lp.hm.com/hmprod?set=key[source],value[/model/2014/001 0219086 014 26 0412.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=4&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6LT_0197_015R.jpg]&set=key[rotate],value[-0.15]&set=key[width],value[3648]&set=key[height],value[4265]&set=key[x],value[865]&set=key[y],value[669]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];19,99;fashion;Hosen;weiss;28;men;H&M;H&M
Sonnenbrille;http://www.hm.com/de/product/26142?article=26142-B;lp.hm.com/hmprod?set=key[source],value[/model/2014/2GV 0215303 001 50 0523.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;6,99;Accessories;Sonnenbrillen;braun;;women;H&M;H&M
Jerseyshirt;http://www.hm.com/de/product/22590?article=22590-C;lp.hm.com/hmprod?set=key[source],value[/model/2014/2GV 0215337 005 36 2548.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6MT_0282_010R.jpg]&set=key[rotate],value[0.5]&set=key[width],value[3713]&set=key[height],value[4342]&set=key[x],value[776]&set=key[y],value[495]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];7,99;fashion;Tops;grau;m;women;H&M;H&M
30er-Pack Haarnadeln;http://www.hm.com/de/product/28971?article=28971-A;lp.hm.com/hmprod?set=key[source],value[/model/2014/2JV 0214844 001 00 0300.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;1,99;Accessories;Haaraccessoires;schwarz;;women;H&M;H&M
3er-Pack Sneakersocken;http://www.hm.com/de/product/16212?article=16212-A;lp.hm.com/hmprod?set=key[source],value[/model/2014/2KV 0160442 007 00 0000.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;7,99;fashion;Unterwäsche;schwarz;36;women;H&M;H&M
Cardigan mit Kapuze;http://www.hm.com/de/product/22661?article=22661-A;lp.hm.com/hmprod?set=key[source],value[/model/2014/2KV 0200978 001 81 9958.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&set=key[hmver],value[1]&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6DT_0283_006R.jpg]&set=key[rotate],value[0.3]&set=key[width],value[4019]&set=key[height],value[4699]&set=key[x],value[524]&set=key[y],value[307]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];34,99;fashion;Pullover;schwarz;m;women;H&M;H&M
Flechtgürtel;http://www.hm.com/de/product/10714?article=10714-D;lp.hm.com/hmprod?set=key[source],value[/model/2014/2MV 0179985 006 84 1000.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;4,99;Accessories;Gürtel;beige;;women;H&M;H&M
Große Haarklammer;http://www.hm.com/de/product/13070?article=13070-A;lp.hm.com/hmprod?set=key[source],value[/model/2014/2OV 0186269 001 80 1755.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=3&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;2,49;Accessories;Haaraccessoires;schwarz;;women;H&M;H&M
3er-Pack Minisocks in 80 den;http://www.hm.com/de/product/26907?article=26907-A;lp.hm.com/hmprod?set=key[source],value[/model/2014/2OV 0217727 002 25 6269.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=3&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;7,99;fashion;Unterwäsche;beige;36;women;H&M;H&M
Maxikleid;http://www.hm.com/de/product/29284?article=29284-A;lp.hm.com/hmprod?set=key[source],value[/model/2014/2SV 0220094 001 17 9682.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6RT_0211_001R.jpg]&set=key[rotate],value[-0.35]&set=key[width],value[3869]&set=key[height],value[4524]&set=key[x],value[828]&set=key[y],value[377]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];14,99;fashion;Kleider;schwarz;l;women;H&M;H&M
3er-Pack Boxershorts;http://www.hm.com/de/product/13902?article=13902-D;lp.hm.com/hmprod?set=key[source],value[/model/2014/3AL 0184583 005 00 2745.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6tt_0109_003r.jpg]&set=key[rotate],value[0.15]&set=key[width],value[3551]&set=key[height],value[4152]&set=key[x],value[836]&set=key[y],value[485]&set=key[type],value[FASHION_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];14,99;fashion;Unterwäsche;grau;l;men;H&M;H&M
3er-Pack Boxershorts;http://www.hm.com/de/product/13904?article=13904-D;lp.hm.com/hmprod?set=key[source],value[/model/2014/3AL 0190252 005 00 2691.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6tt_0111_022r.jpg]&set=key[rotate],value[-0.4]&set=key[width],value[3610]&set=key[height],value[4221]&set=key[x],value[809]&set=key[y],value[436]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];14,99;fashion;Unterwäsche;grau;xs;men;H&M;H&M
Basic-T-Shirt;http://www.hm.com/de/product/27446?article=27446-B;lp.hm.com/hmprod?set=key[source],value[/model/2014/3AL 0229656 002 26 3890.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/6AV_0400_006R.jpg]&set=key[rotate],value[-1.1]&set=key[width],value[3779]&set=key[height],value[4419]&set=key[x],value[752]&set=key[y],value[390]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];6,99;fashion;T-Shirts;schwarz;l;men;H&M;H&M
Basic-T-Shirt;http://www.hm.com/de/product/27446?article=27446-M;lp.hm.com/hmprod?set=key[source],value[/model/2014/3AL 0229656 024 00 3891.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2015/5BI_0347_005R.jpg]&set=key[rotate],value[0.8]&set=key[width],value[3678]&set=key[height],value[4301]&set=key[x],value[669]&set=key[y],value[330]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];6,99;fashion;T-Shirts;blau;l;men;H&M;H&M
4 Paar Ohrringe;http://www.hm.com/de/product/29194?article=29194-A;lp.hm.com/hmprod?set=key[source],value[/model/2014/3AL 0235596 001 61 3173.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;2,99;Accessories;Schmuck;gold;;women;H&M;H&M
4 Paar Ohrringe;http://www.hm.com/de/product/29194?article=29194-B;lp.hm.com/hmprod?set=key[source],value[/model/2014/3AL 0235596 002 50 4326.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;2,99;Accessories;Schmuck;weiss;;women;H&M;H&M
4 Paar Ohrringe;http://www.hm.com/de/product/29194?article=29194-D;lp.hm.com/hmprod?set=key[source],value[/model/2014/3AL 0235596 004 50 9877.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;2,99;Accessories;Schmuck;weiss;;women;H&M;H&M
2er-Pack Haarklemmen;http://www.hm.com/de/product/24857?article=24857-B;lp.hm.com/hmprod?set=key[source],value[/model/2014/3AY 0126589 002 37 2141.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=4&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;2,49;Accessories;Haaraccessoires;beige;;women;H&M;H&M
