name;productUrl;imageUrls/0;imageUrls/1;price;main cat;sub cat;color prop;size;gender;Brand;Store
Sandaletten mit Keilabsatz;http://www.hm.com/de/product/46080?article=46080-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0386050 001 60 4503.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;24,99;schuhe;Pumps & High Heels;schwarz;36;women;H&M;H&M
Sandaletten mit Keilabsatz;http://www.hm.com/de/product/46080?article=46080-B;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0386050 002 60 4499.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;24,99;schuhe;Pumps & High Heels;orange;36;women;H&M;H&M
Sandaletten mit Keilabsatz;http://www.hm.com/de/product/46080?article=46080-C;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0386050 007 60 4502.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;24,99;schuhe;Pumps & High Heels;orange;36;women;H&M;H&M
Sakko Slim Fit;http://www.hm.com/de/product/46648?article=46648-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0386171 001 11 3630.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/7AR_0362_016R.jpg]&set=key[rotate],value[-0.5]&set=key[width],value[3635]&set=key[height],value[4250]&set=key[x],value[862]&set=key[y],value[321]&set=key[type],value[FASHION_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];59,99;fashion;Sakkos & Anzüge;blau;l;men;H&M;H&M
Anzughose Slim Fit;http://www.hm.com/de/product/46649?article=46649-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0386190 001 92 3585.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/7AR_0361_002R.jpg]&set=key[rotate],value[0.55]&set=key[width],value[4019]&set=key[height],value[4699]&set=key[x],value[627]&set=key[y],value[306]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];29,99;fashion;Hosen;blau;l;men;H&M;H&M
Anzughose Slim Fit;http://www.hm.com/de/product/46649?article=46649-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0386190 001 92 3585.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/7AR_0361_002R.jpg]&set=key[rotate],value[0.55]&set=key[width],value[4019]&set=key[height],value[4699]&set=key[x],value[627]&set=key[y],value[306]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];29,99;fashion;Sakkos & Anzüge;blau;l;men;H&M;H&M
Kurze Twillshorts;http://www.hm.com/de/product/45689?article=45689-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0387216 001 33 3335.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6ZS_0036_009R.jpg]&set=key[rotate],value[0.3]&set=key[width],value[3801]&set=key[height],value[4444]&set=key[x],value[760]&set=key[y],value[76]&set=key[type],value[FASHION_FRONT]&set=key[hmver],value[1]&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];9,99;fashion;Shorts;schwarz;l;women;H&M;H&M
Badeshorts;http://www.hm.com/de/product/44087?article=44087-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0387372 002 83 4656.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6ST_0468_001R.jpg]&set=key[rotate],value[-0.05]&set=key[width],value[3562]&set=key[height],value[4165]&set=key[x],value[828]&set=key[y],value[192]&set=key[type],value[FASHION_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];9,99;fashion;Bademode;orange;m;men;H&M;H&M
Badeshorts;http://www.hm.com/de/product/44087?article=44087-C;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0387372 007 83 4655.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6ST_0469_003R.jpg]&set=key[rotate],value[-0.05]&set=key[width],value[3719]&set=key[height],value[4348]&set=key[x],value[803]&set=key[y],value[197]&set=key[type],value[FASHION_FRONT]&hmver=5&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];9,99;fashion;Bademode;blau;l;men;H&M;H&M
Gemusterte Badeshorts;http://www.hm.com/de/product/46670?article=46670-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0387423 003 66 4263.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6ST_0475_008R.jpg]&set=key[rotate],value[0.2]&set=key[width],value[3703]&set=key[height],value[4330]&set=key[x],value[816]&set=key[y],value[228]&set=key[type],value[FASHION_FRONT]&hmver=3&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];14,99;fashion;Bademode;weiss;l;men;H&M;H&M
